S.No,State,District ,Code ,Headquarters ,Population (2011) ,Area (km²) ,Density (/km²),
1,Maharashtra (MH),Thane,TH,Thane,"1,10,60,148","9,558","1,157",
2,West Bengal (WB),North 24 Parganas,PN,Barasat,"1,00,82,852","4,094","2,463",
3,Karnataka (KA),Bangalore Urban,BN,Bangalore,"95,88,910","2,190","4,378",
4,Maharashtra (MH),Pune,PU,Pune,"94,26,959","15,643",603,
5,Maharashtra (MH),Mumbai suburban,MU,Bandra (East),"93,32,481",369,"20,925",
6,West Bengal (WB),South 24 Parganas,PS,Alipore,"81,53,176","9,960",819,
7,West Bengal (WB),Bardhaman,BR,Bardhaman,"77,23,663","7,024","1,100",
8,Gujarat (GJ),Ahmedabad,AH,Ahmedabad,"72,08,200","8,707",890,
9,West Bengal (WB),Murshidabad,MSD,Baharampur,"71,02,430","5,324","1,334",
10,Rajasthan (RJ),Jaipur,JP,Jaipur,"66,63,971","11,152",598,
11,Maharashtra (MH),Nashik,NS,Nashik,"61,09,052","15,539",393,
12,Uttar Pradesh (UP),Allahabad,AH,Allahabad,"59,59,798","5,481","1,087",
13,Bihar (BR),Patna,PA,Patna,"57,72,804","3,202","1,803",
14,West Bengal (WB),Hooghly,HG,Hugli-Chuchura,"55,20,389","3,149","1,753",
15,Telangana (TS),Ranga Reddy,RA,Hyderabad,"52,96,396","7,493",707,
16,West Bengal (WB),Nadia,NA,Krishnanagar,"51,68,488","3,927","1,316",
17,Andhra Pradesh (AP),East Godavari,EG,Kakinada,"51,51,549","10,807",477,
18,West Bengal (WB),Paschim Medinipur,PM,Midnapore,"50,94,238","9,345","1,076",
19,Bihar (BR),East Champaran,EC,Motihari,"50,82,868","3,969","1,281",
20,Gujarat (GJ),Surat,ST,Surat,"49,96,391","4,327",653,
21,Andhra Pradesh (AP),Guntur,GU,Guntur,"48,89,230","11,391",429,
22,West Bengal (WB),Howrah,HR,Howrah,"48,41,638","1,467","3,300",
23,Bihar (BR),Muzaffarpur,MZ,Muzaffarpur,"47,78,610","3,173","1,506",
24,Karnataka (KA),Belgaum,BG,Belgaum,"47,78,439","13,415",356,
25,Uttar Pradesh (UP),Moradabad,MO,Moradabad,"47,73,138","3,718","1,284",
26,Tamil Nadu (TN),Chennai,CH,Chennai (Madras),"46,81,087",174,"26,903",
27,Uttar Pradesh (UP),Ghaziabad,GZ,Ghaziabad,"46,61,452","1,175","3,967",
28,Maharashtra (MH),Nagpur,NG,Nagpur,"46,53,171","9,892",470,
29,Uttar Pradesh (UP),Azamgarh,AZ,Azamgarh,"46,16,509","4,053","1,139",
30,Uttar Pradesh (UP),Lucknow,LU,Lucknow,"45,88,455","2,528","1,815",
31,Uttar Pradesh (UP),Kanpur Nagar,KN,Kanpur,"45,72,951","3,156","1,415",
32,Maharashtra (MH),Ahmednagar,AH,Ahmednagar,"45,43,083","17,048",266,
33,Andhra Pradesh (AP),Krishna,KR,Machilipatnam,"45,29,009","8,727",519,
34,West Bengal (WB),Kolkata,KO,Kolkata,"44,86,679",185,"24,252",
35,Uttar Pradesh (UP),Jaunpur district,JU,Jaunpur,"44,76,072","4,038","1,108",
36,Bihar (BR),Madhubani,MB,Madhubani,"44,76,044","3,501","1,279",
37,Uttar Pradesh (UP),Sitapur,SI,Sitapur,"44,74,446","5,743",779,
38,Uttar Pradesh (UP),Bareilly,BR,Bareilly,"44,65,344","4,120","1,084",
39,Uttar Pradesh (UP),Gorakhpur,GR,Gorakhpur,"44,36,275","3,325","1,336",
40,West Bengal (WB),Purba Medinipur,PR,Tamluk,"44,17,377","4,736",923,
41,Uttar Pradesh (UP),Agra,AG,Agra,"43,80,793","4,027","1,084",
42,Bihar (BR),Gaya,GA,Gaya,"43,79,383","4,978",880,
43,Maharashtra (MH),Solapur,SO,Solapur,"43,15,527","14,895",290,
44,Andhra Pradesh (AP),Visakhapatnam,VS,Visakhapatnam,"42,88,113","11,161",384,
45,Bihar (BR),Samastipur,SM,Samastipur,"42,54,782","2,905","1,465",
46,Maharashtra (MH),Jalgaon,JG,Jalgaon,"42,24,442","11,765",359,
47,Andhra Pradesh (AP),Chittoor,CH,Chittoor,"41,70,468","15,152",275,
48,Uttar Pradesh (UP),Muzaffarnagar,MU,Muzaffarnagar,"41,38,605","4,008","1,033",
49,Kerala (KL),Malappuram,MA,Malappuram,"41,10,956","3,550","1,058",
50,Uttar Pradesh (UP),Hardoi,HR,Hardoi,"40,91,380","5,986",683,
